#type	format	SLOT Identifier	SLOT Name	SLOT Type	Scaling	Range	Offset	Length	Date Created or Last Modified
d	1	298	SAEsg02	Signal gain	0.5 %/bar per bit	0 to 125 %/bar	0	1 byte	2/20/2008
d	1	326	SAEsg03	Signal gain	0.5 dBm per bit	-125 to 0 dBm	-125 dBm	1 byte	1/1/2013
d	2	285	SAEsh01	Specific Humidity	0.01 g/kg per bit	0 to 642.55 g/kg	0	2 bytes	8/15/2007
int	u	214	SAESP00	SPN	1 Binary	0 to 524,287	0	19 bits	
d	1	83	SAEsr01	Specific Resistance	0.1 Mohm*m/bit	0 to 25 Mohm*m	0	1 byte	
int	u	84	SAEst01	Step	1 step/bit	0 to 250 steps	0	1 byte	
int	u	274	SAEtc01	Trouble code	1 trouble code/bit	0 to 250	0	1 byte	
#		155	SAEtd01	Transfer Data	Request Dependent	9 to 1777 bytes of data	Request Dependent	72 to 14,216 bits	11/8/2000
#		158	SAEtd02	Transport Data	Request Dependent	9 to 1784 bytes of data	Request Dependent	72 to 14,272 bits	11/8/2000
#		277	SAEtd03	Test data	Not defined	Not defined	Not defined	2 bytes	
d	2	57	SAEtm01	Time	0.01 ms/bit	0 to 642.55 ms	0	2 bytes	
int	u	132	SAEtm02	Time	1 ms/bit	0 to 64,255 ms	0	2 bytes	5/5/2016
d	1	59	SAEtm03	Time	0.1 s/bit	0 to 25 s	0	1 byte	
d	2	63	SAEtm04	Time	0.25 s/bit	0 to 62.5 s	0	1 byte	
int	u	64	SAEtm05	Time	1 s/bit	0 to 64,255 s	0	2 bytes	
int	u	6	SAEtm06	Time	1 s/bit	0 to 4,211,081,215 s	0	4 bytes	
int	d	99	SAEtm07	Time	1 min/bit	-125 to 125 min	-125 min	1 byte	7/29/1999
int	u	61	SAEtm08	Time	1 min/bit	0 to 250 min	0	1 byte	
d	2	58	SAEtm09	Time	0.05 h/bit	0 to 210,554,060.75 h	0	4 bytes	
int	d	4	SAEtm10	Time	1 h/bit	-125 to 125 h	-125 h	1 byte	
int	u	3	SAEtm11	Time	1 h/bit	0 to 250 h	0	1 byte	
int	d	5	SAEtm12	Time	1 h/bit	-32,127 to 32,128 h	-32,127 h	2 bytes	
d	7	206	SAEtm13	Time	0.0000512 s/bit	0 to 3.289856 s	0	2 bytes	8/10/2014
d	1	224	SAEtm14	Time	0.1 h/bit	0 to 6,425.5 h	0	2 bytes	8/4/2016
int	u	238	SAEtm15	Time	1 min/bit	0 to 64,255 min	0	2 bytes	5/12/2011
d	1	241	SAEtm16	Time	0.5 ms/bit	0 to 125 ms	0	1 byte	5/18/2004
int	u	247	SAEtm17	Time	1 ms/bit	0 to 250 ms	0	1 byte	8/19/2004
d	1	319	SAEtm18	Time	0.1 µs/bit	0 to 6425.5 µs	0	2 bytes	11/19/2009
d	2	322	SAEtm19	Time	0.05 s/bit	0 to 12.5 s	0	1 byte	8/5/2010
d	2	333	SAEtm20	Time	0.01 s/bit	0 to 642.55 s	0	2 bytes	2/3/2011
int	u	324	SAEtm21	Time	1 h/bit	0 to 64255 h	0	2 bytes	9/28/2010
d	1	353	SAEtm22	Time	0.1 µs/bit	-3212.7 to 3212.8 µs	-3212.7 µs	2 bytes	1/1/2013
int	u	380	SAEtm23	Time	2 µs/bit	0 to 128510 µs	0	2 bytes	11/15/2012
int	u	384	SAEtm24	Time	6 s/bit	0 to 385,530 s	0	2 bytes	2/28/2013
d	6	416	SAEtma01	Temperature per mass flow	1/64   °C/kg/s per bit	-502 to 501.984375 °C/kg/s	-502 °C/kg/s	2 bytes	2/19/2015
int	d	67	SAEtp01	Temperature	1 °C/bit	-40 to 210 °C	-40 °C	1 byte	
d	5	68	SAEtp02	Temperature	0.03125 °C/bit	-273 to 1734.96875 °C	-273 °C	2 bytes	2/20/2008
d	4	358	SAEtp04	Temperature	1/128 °C/bit	-273 to 228.9921875 °C	-273 °C	2 bytes	8/9/2012
int	d	69	SAEtq01	Torque	1 Nm/bit	-32,000 to 32,255 Nm	-32,000 Nm	2 bytes	
int	u	70	SAEtq02	Torque	1 Nm/bit	0 to 64,255 Nm	0	2 bytes	
